863 2514
426 318 323
70 652 880
269 749 354
679 780 566
372 219 675
67 251 701
425 421 823
129 514 913
483 505 736
402 98 46
488 148 881
821 322 289
33 859 18
156 181 385
488 556 683
577 736 934
23 248 302
781 709 463
563 793 332
649 447 523
687 579 121
668 626 578
38 356 796
222 798 51
224 228 315
168 149 58
752 280 275
809 732 995
356 190 882
643 374 614
424 95 160
822 656 869
617 471 509
700 265 360
742 757 333
810 550 359
764 332 276
432 829 9
340 646 381
700 357 455
220 255 564
544 80 124
239 490 151
738 691 169
379 150 541
597 856 822
322 337 588
707 102 577
771 114 561
727 179 695
466 426 124
550 742 29
316 285 173
374 160 801
449 423 162
538 259 292
453 391 773
837 261 327
37 131 523
562 458 807
350 160 435
445 850 229
562 727 946
197 730 580
847 58 858
685 293 789
828 843 53
109 494 315
767 405 317
537 319 44
677 521 835
860 311 367
62 88 5
800 487 13
354 690 10
72 578 355
430 791 660
560 293 715
524 674 348
65 92 153
161 645 550
726 722 334
179 627 449
83 106 884
164 648 671
140 360 159
792 443 473
863 149 46
316 769 1
771 637 25
846 678 982
376 244 767
137 68 670
713 141 998
703 92 538
496 443 808
430 295 220
629 241 346
413 86 168
358 319 608
372 296 195
324 80 924
192 235 198
558 140 863
390 807 395
276 703 795
144 337 807
693 661 812
824 477 104
131 599 412
215 110 434
191 26 393
249 319 449
844 559 419
92 224 288
611 582 352
584 508 592
126 150 241
647 371 237
80 546 6
155 334 648
182 601 471
741 838 849
49 495 262
854 762 629
591 677 270
418 751 187
18 455 174
462 622 25
488 218 714
466 55 821
313 393 322
424 770 257
145 691 317
616 193 811
487 696 705
82 186 959
701 722 726
422 371 105
862 314 415
646 450 201
662 491 565
2 618 928
746 808 263
390 496 129
94 403 15
612 563 90
848 563 633
737 624 572
749 236 450
25 404 643
170 494 916
598 483 626
165 628 212
833 820 652
496 407 652
499 729 945
190 80 910
113 790 426
754 331 228
78 709 769
646 6 855
162 280 335
211 489 502
273 103 531
433 861 570
181 285 913
542 774 414
252 461 270
366 309 825
576 7 410
638 563 176
115 634 989
79 860 598
640 801 55
627 8 780
425 739 458
409 372 900
588 481 380
299 42 260
86 117 344
719 567 435
542 402 627
